,주소,위도,경도
102,인천 강화군 삼산면 석모리347-4(해병 1935부대),37.7016513,126.1595684
103,서울 강남구 도산대로 104신사역2번출구 앞,37.51616,127.0180513
104,대구 동구 서호동 25-1(안심로49길 70)반야월초등학교 옥상,35.869342,128.7090397
105,대구 달서구 성서공단로 11길 32 대구기계부품연구원 1동 옥상대구기계부품연구원,35.8375499,128.4865535
106,경기 파주시 후곡로 13교육문화회관 별관,37.7646074,126.76677
107,경기 안양시 동안구 경수대로 665번길 11호계2동 행정복지센터,37.3811356,126.9504521
108,경기 성남시 분당구 운중로 138번길 10운중동행정복지센터,37.3905799,127.075555
109,경기 동두천시 싸리말로 28보산동행정복지센터,37.3905799,127.075555
110,경기 김포시 돌문로 51사우동행정복지센터,37.6358166,126.6242038
111,강원 철원군 갈말읍 삼부연로 51철원군측정소,38.1467424,127.3111716
112,강원 횡성군 횡성읍 중앙로 30친환경급식지원센터,37.4897759,127.9808623
113,울산 북구 호계7길 13농소중학교 옥상,35.6256404,129.3530347
114,경기 용인시 수지구 수지로 342번길3풍덕천1동주민자치센터,37.3279272,127.0930261
115,경기 남양주시 경춘로 1037남양주시청 신관,37.3279272,127.0930261
116,강원 춘천시 중앙로길 135(중앙로 3가 67-1)춘천시보건소 3층 옥상,37.8755383,127.718005
117,충남 아산시 인주면 인주산단로 23-28스틸하우스,36.8772219,126.8683199
118,충남 천안시 서북구 성성동1-70,36.8392245,127.1353897
119,서울 성북구 돈암동 8-164번지,37.6035773,127.023819
120,서울 마포구 노고산동 57-62(신촌역 7번 출구),37.55501,126.9341113
121,서울 구로구 가마산로 27길 45구로고등학교,37.4982638,126.8879302
122,경기 화성시 동탄반석로 87동탄2동 행정복지센터,37.196887,127.0700323
123,경기 안양시 만안구 안양로170번길 23안양6동 행정복지센터,37.3899959,126.9283943
124,강원 정선군 북평면 남평리412-1번지,37.4302328,128.6625754
125,충북 청주시 서원구 원흥로 81청주지방법원 옆 주차장 지상,36.6137405,127.4661109
126,충북 청주시 흥덕구 오송읍 오송생명로 150오송읍 사무소 별관 지상,36.6230239,127.3079003
127,경기도 수원시 권선구 칠보로 161호매실동 행정복지센터,37.26621,126.9548746
128,충남 천안시 동남구 복자1길 24 문성어린이집문성시립보육시설 옥상,36.8141708,127.1499553
129,전북 군산시 대학로 215. 신풍동주민센터 옥상,35.9728344,126.6986284
130,울산 울주군 삼남면 서향교1길 67-12울주군보건소 옥상,35.5584012,129.1115823
131,대전 중구 보문로 20번길 38(문창동 주민센터)문창동 주민센터,36.316167,127.4357432
132,경기 하남시 대청로 10하남시청 종합민원실,37.5393202,127.2127585
133,경기 오산시 경기동로 51오산고용복지플러스센터,37.1588688,127.0752284
134,경기 김포시 고촌읍 신곡로 152김포시상하수도사업소,37.6063317,126.7611062
135,충남 보령시 주교면 울계큰길 396주교면사무소 옥상,36.3908095,126.5671302
136,강원 양구군 양구읍 관공서로 33양구읍 측정소,38.1092109,127.9875131
137,충남 태안군 태안읍 군청6길태안군장애인복지관,36.7460952,126.3002856
138,인천광역시 강화군 길상면 강화동로 15-1길상면보건지소 2층,37.6413354,126.4890554
139,인천 서구 고산후로121번길 7(원당동)검단선사박물관 옥상,37.5943875,126.6964185
140,부산 강서구 녹산산단 382로 49번길 39부산환경공단 녹산사업소,35.0866325,128.8617274
141,경남 창원시 성산구 공단로 303(효성굿스프링스),35.2115193,128.6552982
142,경기 김포시 통진읍 김포대로 2250번길 24-11통진읍행정복지센터,37.6917349,126.5950923
143,인천 옹진군 백령면 연화리산241-2국가배경농도,37.9526498,124.5601912
144,울산 울주군 온산읍 산암로 94풍산금속 야외 주차장,35.4376283,129.3359302
145,"서울 종로구 종로35가길 19종로5,6가 동 주민센터",37.5720164,127.0028188
146,부산 사상구 대동로 205학장초등학교 옥상,35.146085,128.9819343
147,부산 진구 전포대로 209번길 26놀이마루 운동장 남편,35.1556379,129.0611839
