,주소,위도,경도,지역,시군,ID
82,충남 천안시 서북구 성거읍 천흥8길 7천흥산업단지 관리사무소 주차장,36.8820668,127.2090273,충남,천안,천안 서북
83,경기 화성시 동탄순환대로22길 13예솔초등학교,37.197723700000004,127.07324679999999,경기,화성,화성
84,경북 구미시 공단동 256-18 (근로자종합복지회)근로자종합복지회,36.1050525,128.3818497,경북,구미,구미
85,경기 파주시 와석순환로 470한국토지주택공사 파주사업본부,37.723400500000004,126.7542703,경기,파주,파주
86,경기 안양시 만안구 안양로 384번길 50안양2동 행정복지센터,37.4050151,126.91565320000001,경기,안양,안양 만안
87,경기 부천시 성오로 172오정어울마당 아트홀,37.527703,126.79438300000001,경기,부천,부천 오정
88,경기 과천시 상하벌로 17과천시 환경사업소,37.448771799999996,126.99908740000001,경기,과천,과천
89,경기 평택시 지산2로 113송북동 행정복지센터,37.0815954,127.0580364,경기,평택,평택
90,강원 평창군 평창읍 종부로 61(종부리 504)평창군보건의료원 2층 옥상,37.36055820000001,128.3871777,강원,평창,평창
91,충남 아산시 모종동 573-2보건소옥상,36.78271420000001,127.0124101,충남,아산,아산
92,서울 동대문구 천호대로13길 43용두초등학교,37.5745152,127.0186356,서울,동대문,서울 동대문
93,경남 김해시 호계로 517번길 8(동상동 주민센터),35.236849799999995,128.8813025,경남,김해,김해
94,경기 수원시 팔달구 신풍로 23번길 68선경도서관,37.283931,127.0082578,경기,수원,수원 팔달
95,충북 괴산군 괴산읍 서부리 377-1반석아파트 앞 지상,36.80666970000001,127.78666820000001,충북,괴산,괴산
96,경기 평택시 안중읍 안현로 400안중읍행정복지센터,36.985771500000006,126.92952369999999,경기,평택,평택
97,경기 안산시 상록구 각골길 75본오2동행정복지센터,37.296298799999995,126.870065,경기,안산,안산 상록
98,경기 영통구 법조로 129이의중학교,37.291264500000004,127.06861289999999,경기,영통,영통
99,경기 구리시 동구릉로 217-14시립동구어린이집,37.624041999999996,127.1308201,경기,구리,구리
100,충북 충주시 호암동 562(충주시 청소년수련원 옥상)(중원대로 3324)청소년수련원 옥상,36.964637599999996,127.92435149999999,충북,충주,충주
101,충북 청주시 흥덕구 직지대로 393(송정동)충북문화재연구원 옥상,36.6447004,127.4346197,충북,청주,청주 흥덕
102,인천 강화군 삼산면 석모리347-4(해병 1935부대),37.701651299999995,126.15956840000001,인천,강화,인천 강화
103,서울 강남구 도산대로 104신사역2번출구 앞,37.51616,127.01805130000001,서울,강남,서울 강남
104,대구 동구 서호동 25-1(안심로49길 70)반야월초등학교 옥상,35.869341999999996,128.7090397,대구,동구,대구 동구
105,대구 달서구 성서공단로 11길 32 대구기계부품연구원 1동 옥상대구기계부품연구원,35.8375499,128.48655349999999,대구,달서,대구 달서
106,경기 파주시 후곡로 13교육문화회관 별관,37.764607399999996,126.76677,경기,파주,파주
107,경기 안양시 동안구 경수대로 665번길 11호계2동 행정복지센터,37.3811356,126.95045209999999,경기,안양,안양 동안
108,경기 성남시 분당구 운중로 138번길 10운중동행정복지센터,37.3905799,127.07555500000001,경기,성남,성남 분당
109,경기 동두천시 싸리말로 28보산동행정복지센터,37.3905799,127.07555500000001,경기,동두천,동두천
110,경기 김포시 돌문로 51사우동행정복지센터,37.635816600000005,126.62420379999999,경기,김포,김포
111,강원 철원군 갈말읍 삼부연로 51철원군측정소,38.1467424,127.3111716,강원,철원,철원
112,강원 횡성군 횡성읍 중앙로 30친환경급식지원센터,37.4897759,127.98086229999998,강원,횡성,횡성
113,울산 북구 호계7길 13농소중학교 옥상,35.625640399999995,129.3530347,울산,북구,울산 북구
114,경기 용인시 수지구 수지로 342번길3풍덕천1동주민자치센터,37.327927200000005,127.09302609999999,경기,용인,용인 수지
115,경기 남양주시 경춘로 1037남양주시청 신관,37.327927200000005,127.09302609999999,경기,남양주,남양주
116,강원 춘천시 중앙로길 135(중앙로 3가 67-1)춘천시보건소 3층 옥상,37.875538299999995,127.718005,강원,춘천,춘천
117,충남 아산시 인주면 인주산단로 23-28스틸하우스,36.877221899999995,126.8683199,충남,아산,아산
118,충남 천안시 서북구 성성동1-70,36.8392245,127.1353897,충남,천안,천안 서북
119,서울 성북구 돈암동 8-164번지,37.6035773,127.02381899999999,서울,성북,서울 성북
120,서울 마포구 노고산동 57-62(신촌역 7번 출구),37.555009999999996,126.93411129999998,서울,마포,서울 마포
121,서울 구로구 가마산로 27길 45구로고등학교,37.4982638,126.88793020000001,서울,구로,서울 구로
122,경기 화성시 동탄반석로 87동탄2동 행정복지센터,37.196887,127.07003229999998,경기,화성,화성
123,경기 안양시 만안구 안양로170번길 23안양6동 행정복지센터,37.389995899999995,126.9283943,경기,안양,안양 만안
124,강원 정선군 북평면 남평리412-1번지,37.4302328,128.6625754,강원,정선,정선
125,충북 청주시 서원구 원흥로 81청주지방법원 옆 주차장 지상,36.613740500000006,127.46611090000002,충북,청주,청주 서원
126,충북 청주시 흥덕구 오송읍 오송생명로 150오송읍 사무소 별관 지상,36.6230239,127.3079003,충북,청주,청주 흥덕
127,경기도 수원시 권선구 칠보로 161호매실동 행정복지센터,37.26621,126.95487460000001,경기,수원,수원 권선
128,충남 천안시 동남구 복자1길 24 문성어린이집문성시립보육시설 옥상,36.8141708,127.1499553,충남,천안,천안 동남
129,전북 군산시 대학로 215. 신풍동주민센터 옥상,35.972834399999996,126.6986284,전북,군산,군산
130,울산 울주군 삼남면 서향교1길 67-12울주군보건소 옥상,35.558401200000006,129.11158229999998,울산,울주,울산 울주
131,대전 중구 보문로 20번길 38(문창동 주민센터)문창동 주민센터,36.316167,127.4357432,대전,중구,대전 중구
132,경기 하남시 대청로 10하남시청 종합민원실,37.539320200000006,127.21275849999999,경기,하남,하남
133,경기 오산시 경기동로 51오산고용복지플러스센터,37.15886879999999,127.0752284,경기,오산,오산
134,경기 김포시 고촌읍 신곡로 152김포시상하수도사업소,37.606331700000005,126.76110619999999,경기,김포,김포
135,충남 보령시 주교면 울계큰길 396주교면사무소 옥상,36.390809499999996,126.56713020000001,충남,보령,보령
136,강원 양구군 양구읍 관공서로 33양구읍 측정소,38.1092109,127.9875131,강원,양구,양구
137,충남 태안군 태안읍 군청6길태안군장애인복지관,36.746095200000006,126.3002856,충남,태안,태안
138,인천광역시 강화군 길상면 강화동로 15-1길상면보건지소 2층,37.6413354,126.4890554,인천,강화,인천 강화
139,인천 서구 고산후로121번길 7(원당동)검단선사박물관 옥상,37.5943875,126.69641850000001,인천,서구,인천 서구
140,부산 강서구 녹산산단 382로 49번길 39부산환경공단 녹산사업소,35.0866325,128.8617274,부산,강서,부산 강서
141,경남 창원시 성산구 공단로 303(효성굿스프링스),35.2115193,128.6552982,경남,창원,창원 성산
142,경기 김포시 통진읍 김포대로 2250번길 24-11통진읍행정복지센터,37.6917349,126.59509229999999,경기,김포,김포
143,인천 옹진군 백령면 연화리산241-2국가배경농도,37.952649799999996,124.5601912,인천,옹진,인천 옹진
144,울산 울주군 온산읍 산암로 94풍산금속 야외 주차장,35.4376283,129.3359302,울산,울주,울산 울주
145,"서울 종로구 종로35가길 19종로5,6가 동 주민센터",37.572016399999995,127.00281880000001,서울,종로,서울 종로
146,부산 사상구 대동로 205학장초등학교 옥상,35.146085,128.98193429999998,부산,사상,부산 사상
147,부산 진구 전포대로 209번길 26놀이마루 운동장 남편,35.155637899999995,129.0611839,부산,진구,부산 진구
148,대전 동구 계족로 368번길 70(성남동 주민센터)성남동 주민센터,36.3445247,127.435298,대전,동구,대전 동구
149,경기 안산시 단원구 안산천남로 119양지중학교,37.3047309,126.83108,경기,안산,안산 단원
150,경기 수원시 권선구 서부로 1600수원시도로교통관리사업소,37.2522258,126.97411559999999,경기,수원,수원 권선
151,충남 금산군 금산읍 비호로 69금산읍사무소 별관 1층 옥상,36.107248600000005,127.48832720000001,충남,금산,금산
152,충남 서천군 서천읍 서천로14번길 20서천읍 문예의전당 주차장,36.076343200000004,126.69611880000001,충남,서천,서천
153,전북 장수군 장수읍 호비로 10장수군청 옥상,35.647304299999995,127.51903090000002,전북,장수,장수
154,충북 진천군 진천읍 상산로 65 읍내리 370-1진천읍사무소 옥상,36.854963,127.43906129999999,충북,진천,진천
155,충남 천안시 백석동 555-57번지(백성농공단지)백성농공단지,36.8248989,127.10848759999999,충남,천안,천안 백석
156,인천 동구 금곡로 67(송림동)동구의회 옥상,37.473818,126.64101059999999,인천,동구,인천 동구
157,인천 강화군 송해면 전망대로 29(솔정리)송해면사무소 옥상,37.7645292,126.4617423,인천,강화,인천 강화
158,세종 보듬3로 114(아름동)아름동커뮤니티센터 옥상,37.7645292,126.4617423,세종,세종,세종
159,서울 노원구 화랑로 429태능입구역 8번 출구,37.617794,127.07430729999999,서울,노원,서울 노원
160,부산 서구 대신로 150부산국민체육센터 옥상,35.11736629999999,129.0135435,부산,서구,부산 서구
161,대전 대덕구 문평동로 18번길 34(문평동 119안전센터)문평동 119안전센터,36.447031700000004,127.40260090000001,대전,대덕,대전 대덕
162,대구 남구 성당로30길55 성명초등학교별관3층옥상성명초등학교 별관 3층 옥상,35.8454939,128.5688151,대구,남구,대구 남구
163,경기 안양시 동안구 시민대로 235안양시청 민원실,37.394327000000004,126.9546699,경기,안양,안양 동안
164,강원 원주시 문막읍 건등로 11문막읍행정복지센터 부지내 지상,37.3125964,127.81497990000001,강원,원주,원주
165,부산광역시 북구 덕천2길 10덕천초등학교 운동장 남쪽 화단,35.20838320000001,129.0043196,부산,북구,부산 북구
166,대전 대덕구 대전로 1331번길 75(태아산업(주))태아산업(주),36.372271000000005,127.41582690000001,대전,대덕,대전 대덕
167,경북 포항시 남구 철강로 331 공단정수장공단정수장,35.9801817,129.37260619999998,경북,포항,포항 남구
168,경기 의왕시 부곡중앙남1길 19해늘어린이집,37.319402399999994,126.9482453,경기,의왕,의왕
169,충남 공주시 봉황로 1(공주시의회 옥상),36.44695120000001,127.1170203,충남,공주,공주
170,경기 양주시 고읍남로 205청소년문화의 집,37.791870200000005,127.0823751,경기,양주,양주
171,경북 김천시 운동장길1김천실내수영장 뒤편,36.1423891,128.0847165,경북,김천,김천
172,경북 안동시 퇴계로 115 (명륜동)안동시청 경민관 옥상,36.568431,128.7273653,경북,안동,안동
173,전북 익산시 무왕로 1338. 익산소방서옥상,35.962229799999996,127.0029607,전북,익산,익산
174,인천 부평구 부평대로88번길 19(부평동)인천부평동초등학교 옥상,37.499677399999996,126.72155749999999,인천,부평,인천 부평
175,서울 용산구 한남대로 136서울특별시중부기술교육원,37.540033,127.00266129999999,서울,용산,서울 용산
176,경남 창원시 의창구 우곡로 101번길 85센터)(명서2동 민원센터),35.24562589999999,128.64694790000001,경남,창원,창원 의창
177,경남 김해시 활천로 303(신어초등학교),35.2442105,128.9092997,경남,김해,김해
178,경기 광명시 소하일로 7소하도서관,37.445488299999994,126.88582020000001,경기,광명,광명
